GantryNo,GantryLocation,RoadType,ApplicableDays,7.00-7.05,7.05-7.25,7.25-7.30,7.30-7.35,7.35-7.55,7.55-8.00,8.00-8.05,8.05-8.25,8.25-8.30,8.30-8.35,8.35-8.55,8.55-9.00,9.00-9.05,9.05-9.25,9.25-9.30,9.30-9.35,9.35-9.55,9.55-10.00,17.30-17.35,17.35-17.55,17.55-18.00,18.00-18.05,18.05-18.25,18.25-18.30,18.30-18.35,18.35-18.55,18.55-19.00,19.00-19.05,19.05-19.25,19.25-19.30,19.30-19.35,19.35-19.55,19.55-20.00
36,AYE between Portsdown Road and Alexandra Road,Expressway,Weekdays,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.50,2.00,1.50,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,CTE after Braddell Road,Expressway,Weekdays,0.00,0.00,0.00,1.00,2.00,2.00,3.00,4.00,4.00,4.50,5.00,4.50,4.00,4.00,3.50,3.00,3.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,CTE after Serangoon Road,Expressway,Weekdays,0.00,0.00,0.00,1.00,2.00,2.00,3.00,4.00,4.00,4.50,5.00,4.50,4.00,4.00,3.50,3.00,3.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,CTE after Balestier slip road,Expressway,Weekdays,0.00,0.00,0.00,1.00,2.00,2.00,3.00,4.00,4.00,4.50,5.00,4.50,4.00,4.00,3.50,3.00,3.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,CTE slip road to PIE (Changi) / Serangoon Road,Expressway,Weekdays,0.00,0.00,0.00,1.00,2.00,2.00,2.50,3.00,3.00,4.00,5.00,4.50,4.00,4.00,3.50,3.00,3.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,CTE between Ang Mo Kio Ave 1 and Braddell Road,Expressway,Weekdays,1.00,2.00,2.00,2.00,2.00,2.00,2.50,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,KPE southbound after Defu Flyover,Expressway,Weekdays,0.50,1.00,1.00,2.00,3.00,3.00,3.50,4.00,4.00,5.00,6.00,4.00,2.00,2.00,1.50,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,PIE after Kallang Bahru exit,Expressway,Weekdays,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,3.00,2.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,PIE Slip Road into Bendemeer Rd,Expressway,Weekdays,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,3.00,2.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,PIE eastbound after Adam Road,Expressway,Weekdays,0.00,0.00,0.00,1.00,2.00,2.00,2.00,2.00,1.50,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,Mount Pleasant slip road into the eastbound PIE,Expressway,Weekdays,0.00,0.00,0.00,1.00,2.00,2.00,2.00,2.00,1.50,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,PIE slip road into CTE,Expressway,Weekdays,0.00,0.00,0.00,1.00,2.00,2.00,3.00,4.00,4.00,4.50,5.00,4.50,4.00,4.00,3.50,3.00,3.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,PIE westbound before Eunos Link,Expressway,Weekdays,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00,1.50,2.00,1.50,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,CTE northbound between PIE and Braddell Road,Expressway,Weekdays,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,3.00,3.00,3.50,4.00,4.00,4.00,4.00,3.50,3.00,3.00,2.00,1.00,1.00,0.50
67,PIE to CTE northbound before Braddell Road,Expressway,Weekdays,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,3.00,3.00,3.50,4.00,4.00,4.00,4.00,3.50,3.00,3.00,2.00,1.00,1.00,0.50
92,MCE eastbound after entry from Maxwell Road,Expressway,Weekdays,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
93,MCE eastbound after entry on slip road after Marina Boulevard,Expressway,Weekdays,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
52,Citybound AYE After Jurong Town Hall,Expressway,Weekdays,0.00,0.00,0.00,2.00,4.00,3.00,2.00,2.00,2.00,2.50,3.00,2.50,2.00,2.00,1.50,1.00,1.00,0.50,1.50,3.00,2.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,Citybound AYE Clementi Ave 6 into AYE,Expressway,Weekdays,0.00,0.00,0.00,2.00,4.00,3.00,2.00,2.00,2.00,2.50,3.00,2.50,2.00,2.00,1.50,1.00,1.00,0.50,1.50,3.00,2.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Citybound AYE Clementi Ave 2 into AYE,Expressway,Weekdays,0.00,0.00,0.00,2.00,4.00,3.00,2.00,2.00,2.00,2.50,3.00,2.50,2.00,2.00,1.50,1.00,1.00,0.50,1.50,3.00,2.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Tuasbound AYE - After North Buona Vista,Expressway,Weekdays,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,3.00,2.50,2.00,2.00,2.00,2.00,2.00,1.50,1.00,1.00,0.50,0.00,0.00,0.00